업종,회사명,연도,계정,금액,경고
반도체/전자부품,삼성전자,2025,매출액,333605938000000.0,
반도체/전자부품,삼성전자,2024,매출액,300870903000000.0,
반도체/전자부품,삼성전자,2023,매출액,258935494000000.0,
반도체/전자부품,삼성전자,2025,매출원가,202235513000000.0,
반도체/전자부품,삼성전자,2024,매출원가,186562268000000.0,
반도체/전자부품,삼성전자,2023,매출원가,180388580000000.0,
반도체/전자부품,삼성전자,2025,재고자산,52636828000000.0,
반도체/전자부품,삼성전자,2024,재고자산,51754865000000.0,
반도체/전자부품,삼성전자,2023,재고자산,51625874000000.0,
반도체/전자부품,삼성전자,2025,현금및현금성자산,57856378000000.0,
반도체/전자부품,삼성전자,2024,현금및현금성자산,53705579000000.0,
반도체/전자부품,삼성전자,2023,현금및현금성자산,69080893000000.0,
반도체/전자부품,삼성전자,2025,유동자산,247684612000000.0,
반도체/전자부품,삼성전자,2024,유동자산,227062266000000.0,
반도체/전자부품,삼성전자,2023,유동자산,195936557000000.0,
반도체/전자부품,삼성전자,2025,유동부채,106411348000000.0,
반도체/전자부품,삼성전자,2024,유동부채,93326299000000.0,
반도체/전자부품,삼성전자,2023,유동부채,75719452000000.0,
반도체/전자부품,삼성전자,2025,단기차입금,17574980000000.0,"표준 계정코드(account_id)로 찾지 못해, 계정명 텍스트로 대신 찾은 값입니다. 회사 고유 계정코드를 쓰는 경우일 수 있으니 정확성을 별도로 확인하세요."
반도체/전자부품,삼성전자,2024,단기차입금,13172504000000.0,"표준 계정코드(account_id)로 찾지 못해, 계정명 텍스트로 대신 찾은 값입니다. 회사 고유 계정코드를 쓰는 경우일 수 있으니 정확성을 별도로 확인하세요."
반도체/전자부품,삼성전자,2023,단기차입금,7114601000000.0,"표준 계정코드(account_id)로 찾지 못해, 계정명 텍스트로 대신 찾은 값입니다. 회사 고유 계정코드를 쓰는 경우일 수 있으니 정확성을 별도로 확인하세요."
반도체/전자부품,삼성전자,2025,유동성장기부채,1177508000000.0,
반도체/전자부품,삼성전자,2024,유동성장기부채,2207290000000.0,
반도체/전자부품,삼성전자,2023,유동성장기부채,1308875000000.0,
반도체/전자부품,삼성전자,2025,장기차입금,6479517000000.0,
반도체/전자부품,삼성전자,2024,장기차입금,3935860000000.0,
반도체/전자부품,삼성전자,2023,장기차입금,3724850000000.0,
반도체/전자부품,삼성전자,2025,부채총계,130621773000000.0,
반도체/전자부품,삼성전자,2024,부채총계,112339878000000.0,
반도체/전자부품,삼성전자,2023,부채총계,92228115000000.0,
반도체/전자부품,삼성전자,2025,자본총계,436320337000000.0,
반도체/전자부품,삼성전자,2024,자본총계,402192070000000.0,
반도체/전자부품,삼성전자,2023,자본총계,363677865000000.0,
반도체/전자부품,삼성전자,2025,자산총계,566942110000000.0,
반도체/전자부품,삼성전자,2024,자산총계,514531948000000.0,
반도체/전자부품,삼성전자,2023,자산총계,455905980000000.0,
반도체/전자부품,삼성전자,2025,영업이익,43601051000000.0,
반도체/전자부품,삼성전자,2024,영업이익,32725961000000.0,
반도체/전자부품,삼성전자,2023,영업이익,6566976000000.0,
반도체/전자부품,삼성전자,2025,당기순이익,45206805000000.0,
반도체/전자부품,삼성전자,2024,당기순이익,34451351000000.0,
반도체/전자부품,삼성전자,2023,당기순이익,15487100000000.0,
반도체/전자부품,삼성전자,2025,금융원가,11733764000000.0,
반도체/전자부품,삼성전자,2024,금융원가,12985684000000.0,
반도체/전자부품,삼성전자,2023,금융원가,12645530000000.0,
반도체/전자부품,삼성전자,2025,유형자산,215304784000000.0,
반도체/전자부품,삼성전자,2024,유형자산,205945209000000.0,
반도체/전자부품,삼성전자,2023,유형자산,187256262000000.0,
반도체/전자부품,삼성전자,2025,무형자산,29480565000000.0,
반도체/전자부품,삼성전자,2024,무형자산,23738566000000.0,
반도체/전자부품,삼성전자,2023,무형자산,22741862000000.0,
반도체/전자부품,삼성전자,2025,관계기업투자,13772121000000.0,
반도체/전자부품,삼성전자,2024,관계기업투자,12592117000000.0,
반도체/전자부품,삼성전자,2023,관계기업투자,11767444000000.0,
반도체/전자부품,삼성전자,2025,이연법인세자산,18840559000000.0,
반도체/전자부품,삼성전자,2024,이연법인세자산,14236468000000.0,
반도체/전자부품,삼성전자,2023,이연법인세자산,10211797000000.0,
반도체/전자부품,삼성전자,2025,유동충당부채,7690559000000.0,
반도체/전자부품,삼성전자,2024,유동충당부채,8216469000000.0,
반도체/전자부품,삼성전자,2023,유동충당부채,6524876000000.0,
반도체/전자부품,삼성전자,2025,비유동충당부채,2900411000000.0,
반도체/전자부품,삼성전자,2024,비유동충당부채,3120044000000.0,
반도체/전자부품,삼성전자,2023,비유동충당부채,2878450000000.0,
반도체/전자부품,삼성전자,2025,자본금,897514000000.0,
반도체/전자부품,삼성전자,2024,자본금,897514000000.0,
반도체/전자부품,삼성전자,2023,자본금,897514000000.0,
반도체/전자부품,삼성전자,2025,이익잉여금,402135600000000.0,
반도체/전자부품,삼성전자,2024,이익잉여금,370513188000000.0,
